ルール,説明,ルル,エクス
ゴルフ場での声の大きな会話や笑い声,ゴルフ場では静かにすることがマナーとされており、大声は他のプレイヤーの迷惑になります。,Loud conversations and laughter on the golf course,"It is considered good etiquette to be quiet on the golf course, and loud voices will disturb other players."
ビジネスシーンでの適切な敬語の使用を怠る,ビジネスの場では適切な敬語の使用が求められ、これを怠ると失礼と捉えられることがあります。,Neglecting to use appropriate honorific language in business situations,"Appropriate use of honorific language is required in business settings, and failure to do so may be considered rude."
オフィスでの私物の過剰な展示,個人的な装飾や私物を職場のデスクに過剰に展示することは、プロフェッショナルな環境を損ねると見なされることがあります。,Excessive display of personal items in the office,Excessive display of personal decorations and personal items on your work desk may be seen as detracting from the professional environment.
ホテルのバッフェでの食べ過ぎ,バッフェ形式の食事での過剰な食事は、無駄遣いや食べ物の価値を軽視していると見なされることがあります。,Overeating at the hotel buffet,Overeating at a buffet meal can be seen as wasting money or disrespecting the value of the food.
列車やバスの中での化粧の塗り直し,公共交通機関内での化粧は他の乗客に不快感を与えるため、避けるべき行動です。,Reapplying makeup on the train or bus,Make-up on public transport is a behavior that should be avoided as it may cause discomfort to other passengers.
スポーツジムでのマシンの占有,長時間にわたって同じ運動器具を独占する行為は、他の利用者の機会を奪うとされます。,Occupying machines at the gym,The act of monopolizing the same exercise equipment for a long period of time is considered to deprive other users of the opportunity.
無断で隣人の駐車スペースを使用する,駐車スペースを無断で使用することは、隣人とのトラブルの原因となり得ます。,Using your neighbor's parking space without permission,Using a parking space without permission can cause trouble with your neighbors.
電話に出ないでメッセージのみで対応する,特にビジネスの場面では、電話に出ずにメッセージのみで対応することは不適切とされることがあります。,"Don't answer the phone, just send a message","Especially in business situations, it may be considered inappropriate to respond only by texting instead of answering the phone."
言葉遣いにおけるタメ口,相手との関係性にもよりますが、親しき中にも礼儀ありで、敬語を使うべき場面でタメ口を使うのは不適切です。,slang in language,"It depends on your relationship with the other person, but it is inappropriate to use polite language in situations where you should be polite and use polite language."
お土産を配る際の差別,職場などでお土産を一部の人にしか配らない行為は、不公平感を生み出し、人間関係に亀裂を入れる可能性があります。,Discrimination when distributing souvenirs,Distributing souvenirs to only a few people at work can create a sense of unfairness and cause a rift in interpersonal relationships.
待合室での足の投げ出し,待合室などでの大きく足を投げ出して座る姿勢は、他の人への配慮に欠けると見なされます。,Throwing your feet up in the waiting room,Sitting in a waiting room with your legs thrown out is considered disrespectful to others.
会議中の不注意な態度,会議中にスマートフォンをいじったり、他のことに注意を払う行為は、参加者への敬意を欠くとされます。,Careless attitude during meetings,Playing with your smartphone or paying attention to other things during a meeting is considered disrespectful to the participants.
レジでの並び方無視,スーパーやコンビニなどでの列の順番を無視して割り込む行為は、他のお客様に対する配慮が欠けるとされます。,Ignoring how to line up at the cash register,Ignoring the order of the line at a supermarket or convenience store and cutting in on someone else is considered disrespectful to other customers.
車内での弁当食べ,新幹線を除く一般車両内での弁当や飲食物の摂取は、他の乗客に不快感を与えるため避けるべきです。,Eating bento in the car,"You should avoid eating boxed lunches or eating food or drinks in general trains, excluding Shinkansen trains, as this may cause discomfort to other passengers."
自宅マンションの共用部分での騒音,深夜や早朝の時間帯に共用部分で騒ぐ行為は、他の住民への配慮に欠けます。,Noise in common areas of my condominium,Making noise in common areas late at night or early in the morning shows a lack of consideration for other residents.
エレベーター内での優先順位無視,優先座席やエレベーターでの高齢者、妊娠中の方、障害を持つ方への配慮が欠けた行動です。,Ignoring priorities in the elevator,"This behavior shows a lack of consideration for the elderly, pregnant women, and people with disabilities in priority seats and elevators."
外出時の室内用スリッパの使用,訪問先で外出用の靴のまま室内に入る、または室内用スリッパを外に履いて出る行為は不適切です。,Using indoor slippers when going out,"When visiting a destination, it is inappropriate to enter the room wearing shoes worn outside or wearing indoor slippers outside."
食事中の箸の不適切な使用,直箸（他人に渡す際に使った箸で直接食べ物を取る）や箸を立てる行為は、食事マナーに反します。,Improper use of chopsticks while eating,It is against good dining etiquette to use chopsticks (taking food directly with the same chopsticks you used to hand it to someone else) or to hold your chopsticks upright.
会話中の長時間の目配せ無視,会話中、相手の目を見ずにスマートフォン等に気を取られ続けることは、非礼とされます。,Ignoring eye contact for a long time during a conversation,It is considered impolite to remain distracted by your smartphone or other device during a conversation without looking into the other person's eyes.
書籍や雑誌の立ち読み,店舗での長時間の立ち読みは、商品の扱いとして適切ではなく、他の顧客の迷惑になることも。,Browse books and magazines,Browsing for long periods of time in a store is not appropriate for handling products and may be a nuisance to other customers.
公共の場での爪切り,公共の場での爪切りは個人の衛生行為として、他人に不快感を与える行為とされます。,Nail clipping in public places,"Cutting your nails in public is considered an act of personal hygiene, but it is considered an act that may cause discomfort to others."
ゴルフ場などでの先行者へのプレッシャー,ゴルフ場でのプレイ中、先行するプレイヤーへ急かすような振る舞いは、マナー違反とされています。,"Pressure on first movers at golf courses, etc.","While playing on the golf course, it is considered bad manners to rush the players ahead of you."
